Term,Definition
adecuado,suitable
apetecer,to feel like doing
aumentar,to increase
asumir,to assume
el bienestar,wellbeing
brindar (consejos),"to offer, give"
complacer,to please
cobrar,"to take on, learn"
el conjunto,group
conseguir,to manage
cuidar,to look after
cuyo,whose
el derecho,right
disfrutar,to enjoy
la docilidad,submissiveness
la emancipación,independence
el embarazo,preganancy
el énfasis,emphasis
enseñar,to teach
esocger,to choose
el esfuerzo,effort
la esposa,wife
familiar,family
el fallecimiento,death
la hembra,female
el hogar,home
impecable,impeccable
imprescindible,essential
incluso,even
la incorporación,involvement
a largo plazo,in the long term
el listón,ribbon
lucir,to glow
mantener,"to keep, maintain"
negar,to deny
el nido,nest
un paso hacía atrás,a backwards step
el plumero,feather duster
el puñado,handful
la recompensa,reward
quejarse,to complain
reluciente,shiny
el siglo,century
soler,to usually…
subordinar,to subordinate
la sumisión,submissiveness
tardío,late
la tarea ,task
vigésimo,twentieth
la vivienda,"dwelling, housing"
